age,weight,height,arm_span,wins_count,wins_knockouts_count,wins_submissions_count,wins_judges_decisions_count,defeats_count,defeats_knockouts_count,defeats_submissions_count,defeats_judges_decisions_count
26,56,160,166,13,1,7,5,5,0,0,5
59,93,185,192,16,7,5,4,10,3,5,2
28,61,168,0,20,12,2,6,8,4,3,1
28,66,178,182,16,3,8,5,2,0,1,1
35,58,165,164,9,0,2,7,6,0,1,5
33,70,173,168,16,6,6,4,1,0,0,1
33,93,188,192,14,5,5,4,1,1,0,0
39,70,173,175,27,3,10,14,11,1,0,10
29,52,155,155,9,1,3,5,1,1,0,0
31,62,173,170,20,9,1,10,56,0,1,5
28,84,188,191,23,5,14,4,5,2,1,2
31,56,165,167,25,5,12,8,12,2,5,5
31,66,168,0,9,4,0,5,1,0,0,1
44,119,180,184,22,10,5,7,3,1,0,2
0,109,183,0,4,2,0,2,1,0,0,1
29,56,160,163,11,4,3,4,8,2,2,4
23,66,180,180,9,2,6,1,0,0,0,0
37,66,168,0,23,1,8,14,7,1,1,5
33,103,195,195,4,4,0,0,2,1,0,1
27,70,170,0,22,3,3,16,4,2,0,2
44,106,188,0,35,26,3,6,17,5,4,8
33,105,195,0,15,11,3,1,5,5,0,0
29,83,186,186,20,10,2,8,4,0,0,4
27,61,175,187,7,0,4,3,0,0,0,0
34,66,170,178,20,5,4,11,7,0,1,6
30,61,175,177,14,3,5,6,4,1,1,2
30,56,165,0,10,1,1,8,1,0,1,0
32,61,170,169,10,1,7,2,3,0,0,3
36,84,185,193,9,1,0,8,4,0,0,4
31,84,188,185,13,9,1,3,4,0,1,3
35,77,178,180,17,12,4,1,7,3,4,0
31,70,183,196,20,6,13,1,6,0,0,6
30,66,160,170,10,7,0,3,1,0,0,1
28,84,185,193,5,2,3,0,0,0,0,0
48,66,170,0,12,1,1,10,3,1,1,1
32,77,180,191,24,14,0,10,4,0,2,2
38,84,190,196,27,17,5,5,1,0,0,1
39,84,178,168,25,16,8,1,12,2,7,3
34,70,173,176,22,12,0,9,8,4,1,3
37,77,177,0,14,10,1,3,3,1,2,0
32,93,182,0,10,5,1,4,2,1,1,0
33,70,175,180,11,4,3,4,3,2,0,1
0,77,183,185,12,2,6,4,0,0,0,0
31,66,170,0,14,7,3,4,4,0,0,4
43,84,183,194,37,17,16,4,8,2,3,3
28,66,173,0,21,3,9,9,3,1,0,2
40,119,191,192,9,4,0,5,0,0,0,0
35,84,186,196,10,9,0,1,9,3,4,2
33,90,188,180,9,6,0,3,3,1,0,2
48,70,176,0,36,18,5,13,14,7,3,4
53,84,180,188,32,17,1,14,15,3,4,8
25,84,183,184,9,4,2,3,0,0,0,0
37,62,161,168,25,5,8,12,4,1,0,3
32,84,185,0,12,2,8,2,4,1,2,1
34,61,173,176,20,4,10,6,5,1,0,4
28,66,180,0,11,9,0,2,3,0,2,1
28,77,183,184,12,5,4,3,3,1,2,0
34,84,183,188,23,20,0,3,10,1,7,2
31,84,183,193,15,6,5,4,1,1,0,0
25,70,183,183,10,4,2,4,1,0,1,0
25,70,188,0,3,2,0,1,0,0,0,0
35,104,180,186,14,8,1,5,7,5,0,2
50,101,185,0,18,12,3,3,12,5,6,1
60,93,185,191,19,7,4,8,11,7,3,1
45,84,185,193,30,18,2,10,9,3,2,4
41,77,175,188,19,7,5,7,7,2,1,4
31,77,185,191,14,11,1,2,0,0,0,0
30,77,180,182,15,12,2,1,8,0,0,8
49,120,178,182,13,10,0,3,14,5,7,2
45,93,185,185,38,20,4,14,14,5,2,7
27,93,185,182,11,8,1,2,4,2,1,1
45,109,190,196,34,17,3,14,23,12,3,8
39,93,190,198,24,16,6,11,10,3,3,4
43,119,193,203,47,25,17,5,19,15,1,3
37,65,165,165,13,4,2,7,15,1,2,12
39,57,188,0,28,5,12,11,9,2,4,3
30,62,163,160,16,1,6,9,5,0,1,4
28,52,165,160,13,2,9,2,8,1,1,6
32,112,185,0,16,7,3,6,1,0,0,1
32,70,178,175,25,4,10,11,5,1,1,3
40,77,181,175,22,3,6,13,15,4,1,10
34,93,188,0,15,5,4,6,6,2,1,3
34,77,185,185,34,13,10,11,6,1,3,2
0,120,196,0,16,9,2,5,5,1,1,3
35,66,175,187,20,4,7,9,14,1,7,6
30,61,170,178,16,10,2,4,5,2,0,3
30,84,183,193,21,9,10,2,2,1,1,0
40,57,170,173,21,13,1,7,14,3,1,10
30,64,173,173,5,2,1,2,2,0,0,2
30,72,178,183,20,4,13,3,2,2,0,0
39,77,178,0,19,6,6,7,2,1,1,0
46,119,191,206,5,3,1,1,3,2,1,0
28,61,163,157,8,1,6,1,6,2,1,3
31,61,173,0,17,3,7,7,3,0,0,3
32,119,193,0,20,7,12,1,2,1,0,1
34,93,185,0,13,9,0,4,5,2,1,2
38,77,183,193,21,5,12,4,13,2,1,10
37,61,163,171,16,8,0,8,4,1,0,3
32,61,173,0,17,4,2,11,0,0,0,0
39,108,185,0,26,20,1,5,12,2,3,7
62,107,191,0,21,1,17,3,8,2,4,2
28,107,185,0,11,8,0,3,3,0,2,1
31,77,183,187,14,9,1,4,6,2,0,4
27,70,182,185,9,2,2,5,2,0,0,2
25,68,180,183,8,5,1,2,2,1,1,0
56,95,183,0,17,2,14,1,5,3,0,2
32,84,183,190,12,11,0,1,3,0,2,1
29,84,188,188,12,10,0,2,0,0,0,0
35,57,163,168,15,8,1,6,9,2,0,7
35,66,168,166,11,1,6,4,4,0,0,4
35,70,175,185,27,16,9,2,6,1,1,4
35,84,178,188,36,14,10,12,9,4,2,3
37,70,178,184,25,11,8,6,14,2,3,9
35,70,173,178,27,14,6,7,13,2,4,7
57,93,175,0,30,0,24,6,11,3,5,3
39,70,172,0,40,13,5,22,7,3,2,2
30,77,185,185,29,11,7,11,11,1,1,9
36,84,178,192,31,17,1,13,10,1,1,8
36,77,178,174,20,3,7,10,6,2,1,3
36,93,183,180,24,8,7,9,8,4,2,2
28,120,198,0,6,5,1,0,3,3,0,0
28,66,170,0,12,3,8,1,4,0,0,4
33,112,196,198,32,15,11,6,8,4,3,1
31,113,193,193,12,5,2,5,2,0,0,2
31,77,190,206,25,14,7,4,10,1,3,6
53,108,175,180,60,5,36,19,26,9,4,13
30,57,163,0,26,9,9,8,10,1,4,5
29,57,163,165,8,2,3,3,5,0,3,2
33,66,168,178,21,6,3,12,0,0,0,0
41,65,173,169,7,3,1,3,1,1,0,0
33,70,178,188,24,12,1,11,3,0,0,3
44,104,183,188,20,15,4,1,5,3,2,0
35,77,183,180,17,11,3,3,12,8,2,2
33,70,178,177,10,1,8,0,4,3,1,0
46,110,193,196,24,6,12,6,10,3,0,7
28,70,175,0,15,2,5,8,3,1,0,2
37,61,168,168,12,3,9,0,2,2,0,0
33,57,165,163,5,0,3,2,1,0,0,1
37,66,170,173,18,10,3,5,4,3,0,1
28,70,191,192,13,9,4,0,7,3,0,4
35,84,185,0,16,7,3,6,5,3,0,2
28,77,180,181,6,2,1,3,3,2,0,1
36,113,193,215,27,10,7,10,1,1,0,0
34,70,173,0,15,6,3,6,6,3,1,2
32,77,183,188,21,11,6,4,1,0,0,1
34,77,180,185,17,6,4,7,4,1,2,1
30,70,173,168,28,11,6,11,5,0,1,4
49,106,188,185,38,30,4,4,11,6,2,3
